Data ke,Suhu Min,Suhu Max,Curah Hujan (mm),Kategori Curah Hujan,Kategori Hujan (num),Arah Angin,Actual Class,Predicted Class,Execution Time
1,24.6,34.4,0.0,4.0,0.0,1.0,0,0,1.3124942779541016
2,24.8,33.0,0.0,4.0,0.0,1.0,2,0,0.6361007690429688
3,24.8,34.3,0.0,4.0,0.0,1.0,0,0,0.5526542663574219
4,24.0,34.4,0.0,4.0,0.0,1.0,2,0,0.6175041198730469
5,24.4,32.8,2.0,1.0,1.0,1.0,2,0,0.5707740783691406
6,24.2,34.0,0.0,4.0,0.0,1.0,0,0,0.5548000335693359
7,24.2,34.4,0.0,4.0,0.0,1.0,2,0,0.5311965942382812
8,25.0,34.2,0.0,4.0,0.0,1.0,0,0,0.5993843078613281
9,24.4,35.2,0.0,4.0,0.0,1.0,0,0,0.5664825439453125
10,23.6,35.0,0.0,4.0,0.0,1.0,0,0,0.5719661712646484
11,23.3,34.4,5.0,1.0,1.0,1.0,2,0,0.60272216796875
12,23.2,33.4,0.0,4.0,0.0,1.0,2,0,0.5528926849365234
13,24.5,33.2,0.0,4.0,0.0,1.0,2,0,0.5309581756591797
14,23.6,33.0,4.8,1.0,1.0,1.0,2,0,0.6015300750732422
15,24.0,33.8,2.2,1.0,1.0,1.0,0,0,0.5679130554199219
16,25.2,34.1,4.0,1.0,1.0,1.0,0,0,0.5316734313964844
17,24.8,33.5,0.0,4.0,0.0,1.0,0,0,0.5457401275634766
18,24.2,33.4,0.0,4.0,0.0,1.0,2,0,0.5507469177246094
19,24.0,33.0,9.0,1.0,1.0,1.0,2,0,0.5285739898681641
20,24.2,34.2,13.5,1.0,1.0,1.0,2,0,0.6155967712402344
21,24.6,33.0,36.2,3.0,2.0,1.0,2,0,0.6368160247802734
22,23.8,33.7,8.3,1.0,1.0,1.0,2,0,0.5373954772949219
23,22.2,32.6,0.0,4.0,0.0,1.0,2,0,0.5388259887695312
24,23.6,33.8,0.0,4.0,0.0,1.0,2,0,0.5931854248046875
25,23.6,34.6,22.6,3.0,2.0,1.0,2,0,0.5290508270263672
26,24.2,30.0,15.0,1.0,1.0,1.0,2,0,0.6124973297119141
27,23.6,33.4,12.0,1.0,1.0,1.0,2,0,0.6046295166015625
28,24.2,31.0,7.9,1.0,1.0,1.0,2,0,0.5481243133544922
29,24.8,33.4,0.0,4.0,0.0,1.0,0,0,0.5202293395996094
30,25.2,34.8,0.0,4.0,0.0,1.0,0,0,0.5462169647216797
31,24.2,34.8,0.0,4.0,0.0,1.0,0,0,0.5269050598144531
32,24.2,35.0,7.2,1.0,1.0,1.0,0,0,0.6084442138671875
33,24.2,34.8,0.0,4.0,0.0,1.0,0,0,0.5495548248291016
34,24.8,34.2,0.0,4.0,0.0,1.0,0,0,0.5924701690673828
35,24.8,33.0,0.0,4.0,0.0,2.0,2,0,0.5242824554443359
36,23.7,32.4,45.1,3.0,2.0,1.0,2,0,0.5478858947753906
37,24.3,32.9,0.0,4.0,0.0,1.0,0,0,0.5311965942382812
38,24.2,33.3,0.0,4.0,0.0,1.0,2,0,0.6742477416992188
39,24.0,33.4,56.3,0.0,3.0,1.0,2,0,0.5512237548828125
40,23.8,32.8,13.3,1.0,1.0,1.0,2,0,0.5307197570800781
41,23.6,33.2,0.0,4.0,0.0,1.0,2,0,0.5335807800292969
42,25.0,32.2,0.0,4.0,0.0,1.0,2,0,0.5471706390380859
43,24.6,32.2,0.0,4.0,0.0,1.0,2,0,0.5314350128173828
44,25.0,32.6,8.4,1.0,1.0,1.0,2,0,0.6144046783447266
45,24.4,35.2,10.1,1.0,1.0,1.0,0,0,0.4782676696777344
46,25.2,34.4,0.0,4.0,0.0,1.0,0,0,0.39839744567871094
47,25.4,34.8,0.0,4.0,0.0,1.0,0,0,0.5211830139160156
48,24.2,33.0,66.1,0.0,3.0,1.0,2,2,0.33092498779296875
49,24.0,33.2,67.5,0.0,3.0,1.0,2,2,0.5307197570800781
50,24.2,33.2,37.6,3.0,2.0,1.0,2,0,0.5040168762207031
51,24.6,32.0,0.0,4.0,0.0,1.0,2,0,0.4246234893798828
52,24.2,32.2,0.0,4.0,0.0,1.0,2,0,0.4811286926269531
53,24.8,34.2,0.0,4.0,0.0,1.0,0,0,0.35691261291503906
54,25.0,33.8,0.0,4.0,0.0,1.0,0,0,0.5185604095458984
55,25.0,33.4,0.0,4.0,0.0,1.0,0,0,0.40435791015625
56,24.6,34.9,18.5,1.0,1.0,1.0,0,0,0.5261898040771484
57,25.8,33.7,0.0,4.0,0.0,1.0,0,0,0.46753883361816406
58,24.7,34.2,1.9,1.0,1.0,1.0,2,0,0.4105567932128906
59,25.0,32.7,1.6,1.0,1.0,1.0,2,0,0.39386749267578125
60,24.0,32.8,33.2,3.0,2.0,1.0,2,0,0.3616809844970703
61,24.2,33.4,0.9,1.0,1.0,1.0,2,0,0.32401084899902344
62,23.8,34.0,37.3,3.0,2.0,1.0,2,0,0.32830238342285156
63,24.0,33.1,15.0,1.0,1.0,1.0,2,0,0.37980079650878906
64,25.4,30.8,11.7,1.0,1.0,1.0,2,0,0.3287792205810547
65,24.6,35.2,5.2,1.0,1.0,1.0,0,0,0.3657341003417969
66,24.0,31.6,45.5,3.0,2.0,1.0,2,0,0.37288665771484375
67,24.2,33.3,0.5,1.0,1.0,1.0,2,0,0.47516822814941406
68,24.4,32.5,9.0,1.0,1.0,1.0,2,0,0.4515647888183594
69,24.4,33.0,17.7,1.0,1.0,1.0,2,0,0.43964385986328125
70,24.2,32.2,3.9,1.0,1.0,1.0,2,0,0.4220008850097656
71,23.6,32.2,80.3,0.0,3.0,1.0,2,2,0.3895759582519531
72,23.8,30.2,79.3,0.0,3.0,1.0,2,2,0.5660057067871094
73,23.4,31.4,0.7,1.0,1.0,1.0,2,0,0.5023479461669922
74,23.7,33.0,0.8,1.0,1.0,1.0,2,0,0.5462169647216797
75,24.6,31.9,0.0,4.0,0.0,1.0,2,0,0.4897117614746094
76,23.4,33.2,6.0,1.0,1.0,1.0,2,0,0.43654441833496094
77,24.0,33.4,0.0,4.0,0.0,1.0,2,0,0.42057037353515625
78,24.2,34.8,0.0,4.0,0.0,1.0,0,0,0.438690185546875
79,23.0,35.0,0.0,4.0,0.0,1.0,2,0,0.5900859832763672
80,24.0,34.2,0.0,4.0,0.0,1.0,2,0,0.6012916564941406
81,24.2,33.6,0.0,4.0,0.0,1.0,0,0,0.5898475646972656
82,24.6,33.6,14.5,1.0,1.0,1.0,0,0,0.5922317504882812
83,24.6,33.2,2.4,1.0,1.0,1.0,2,0,0.6017684936523438
84,25.2,32.4,0.0,4.0,0.0,1.0,2,0,0.5817413330078125
85,24.9,32.6,4.5,1.0,1.0,1.0,2,0,0.6589889526367188
86,24.8,33.0,1.2,1.0,1.0,1.0,2,0,0.6518363952636719
87,24.6,34.4,18.6,1.0,1.0,1.0,2,0,0.5762577056884766
88,24.6,34.0,43.9,3.0,2.0,1.0,2,0,0.5600452423095703
89,24.4,33.0,24.4,3.0,2.0,1.0,2,0,0.5600452423095703
90,23.8,31.8,28.4,3.0,2.0,1.0,2,0,0.5571842193603516
91,24.4,32.2,0.4,1.0,1.0,1.0,2,0,0.5764961242675781
92,23.2,32.4,19.5,1.0,1.0,1.0,2,0,0.6458759307861328
93,23.6,33.5,0.0,4.0,0.0,1.0,2,0,0.6003379821777344
94,25.0,33.4,0.0,4.0,0.0,1.0,0,0,0.6022453308105469
95,25.0,33.0,0.0,4.0,0.0,1.0,2,0,0.6067752838134766
96,24.0,32.4,1.0,1.0,1.0,1.0,2,0,0.5924701690673828
97,24.2,32.8,19.7,1.0,1.0,7.0,2,0,0.6394386291503906
98,24.0,34.4,1.0,1.0,1.0,1.0,2,0,0.6783008575439453
99,23.8,30.4,15.5,1.0,1.0,1.0,2,0,0.5652904510498047
100,24.1,30.6,2.7,1.0,1.0,1.0,2,0,0.5431175231933594
101,23.7,32.8,27.8,3.0,2.0,1.0,2,0,0.5850791931152344
102,24.0,33.6,0.0,4.0,0.0,1.0,2,0,0.5643367767333984
103,23.5,33.1,51.8,0.0,3.0,1.0,2,0,0.6563663482666016
104,23.2,32.6,83.8,0.0,3.0,1.0,2,2,0.5934238433837891
105,23.4,31.6,89.4,0.0,3.0,1.0,2,2,0.6089210510253906
106,23.4,32.0,78.6,0.0,3.0,1.0,2,2,0.5824565887451172
107,23.8,32.9,38.7,3.0,2.0,1.0,2,0,0.5614757537841797
108,22.8,31.6,95.8,0.0,3.0,1.0,2,2,0.659942626953125
109,23.2,29.8,10.7,1.0,1.0,1.0,2,0,0.637054443359375
110,23.2,30.7,0.0,4.0,0.0,1.0,2,0,0.6372928619384766
111,24.2,31.4,0.0,4.0,0.0,1.0,2,0,0.5586147308349609
112,24.6,29.2,0.8,1.0,1.0,1.0,2,0,0.576019287109375
113,23.4,30.6,0.4,1.0,1.0,1.0,2,0,0.6303787231445312
114,24.0,31.8,0.0,4.0,0.0,1.0,2,0,0.5600452423095703
115,23.6,32.0,4.9,1.0,1.0,1.0,2,0,0.5953311920166016
116,23.4,30.6,6.2,1.0,1.0,1.0,2,0,0.6031990051269531
117,23.0,31.0,0.0,4.0,0.0,1.0,2,0,0.6003379821777344
118,23.2,33.0,0.0,4.0,0.0,1.0,2,0,0.5817413330078125
119,24.0,34.7,0.0,4.0,0.0,1.0,2,0,0.6957054138183594
120,23.2,31.1,0.0,4.0,0.0,1.0,2,0,0.6287097930908203
121,23.2,30.4,0.2,1.0,1.0,7.0,2,0,0.5834102630615234
122,24.2,29.4,0.5,1.0,1.0,1.0,2,0,0.5948543548583984
123,23.9,29.8,0.0,4.0,0.0,1.0,2,0,0.7071495056152344
124,23.8,27.4,2.0,1.0,1.0,1.0,2,0,0.6182193756103516
125,23.6,28.5,16.7,1.0,1.0,1.0,2,0,0.5958080291748047
126,23.6,33.0,5.8,1.0,1.0,1.0,2,0,0.5934238433837891
127,23.8,31.3,10.8,1.0,1.0,1.0,2,0,0.6082057952880859
128,24.0,31.7,26.3,3.0,2.0,1.0,2,0,0.6029605865478516
129,23.5,31.0,11.9,1.0,1.0,1.0,2,0,0.5915164947509766
130,23.8,32.6,0.5,1.0,1.0,1.0,2,0,0.6604194641113281
131,24.0,29.8,0.1,1.0,1.0,1.0,2,0,0.5691051483154297
132,24.2,31.8,0.0,4.0,0.0,1.0,2,0,0.5688667297363281
133,23.4,33.6,17.5,1.0,1.0,1.0,2,0,0.5457401275634766
134,23.6,34.4,19.0,1.0,1.0,1.0,2,0,0.5784034729003906
135,24.0,33.0,0.9,1.0,1.0,1.0,2,0,0.6392002105712891
136,24.2,32.5,38.8,3.0,2.0,1.0,2,0,0.6756782531738281
137,23.3,32.5,52.4,0.0,3.0,1.0,2,0,0.6146430969238281
138,23.4,32.8,2.5,1.0,1.0,1.0,2,0,0.5931854248046875
