Data ke,Suhu Min,Suhu Max,Curah Hujan (mm),Kategori Curah Hujan,Kategori Hujan (num),Arah Angin,Actual Class,Predicted Class,Execution Time,Arduino Prediction,Arduino Execution Time
1,24.6,34.4,0.0,4.0,0.0,1.0,0,0,0.0009398460388183594,0,0.035432
2,24.8,33.0,0.0,4.0,0.0,1.0,2,0,0.00023508071899414062,0,0.035415
3,24.8,34.3,0.0,4.0,0.0,1.0,0,0,0.00021982192993164062,0,0.035424
4,24.0,34.4,0.0,4.0,0.0,1.0,2,0,0.00020503997802734375,0,0.035397
5,24.4,32.8,2.0,1.0,1.0,1.0,2,0,0.0002009868621826172,0,0.03551
6,24.2,34.0,0.0,4.0,0.0,1.0,0,0,0.00019097328186035156,0,0.035404
7,24.2,34.4,0.0,4.0,0.0,1.0,2,0,0.00019097328186035156,0,0.035396
8,25.0,34.2,0.0,4.0,0.0,1.0,0,0,0.00018405914306640625,0,0.035422
9,24.4,35.2,0.0,4.0,0.0,1.0,0,0,0.00018787384033203125,0,0.035456
10,23.6,35.0,0.0,4.0,0.0,1.0,0,0,0.00018596649169921875,0,0.035431
11,23.3,34.4,5.0,1.0,1.0,1.0,2,0,0.00018906593322753906,0,0.035486
12,23.2,33.4,0.0,4.0,0.0,1.0,2,0,0.0001888275146484375,0,0.035398
13,24.5,33.2,0.0,4.0,0.0,1.0,2,0,0.00018405914306640625,0,0.035411
14,23.6,33.0,4.8,1.0,1.0,1.0,2,0,0.00018596649169921875,0,0.035504
15,24.0,33.8,2.2,1.0,1.0,1.0,0,0,0.0001850128173828125,0,0.035466
16,25.2,34.1,4.0,1.0,1.0,1.0,0,0,0.00018525123596191406,0,0.035531
17,24.8,33.5,0.0,4.0,0.0,1.0,0,0,0.00018715858459472656,0,0.035419
18,24.2,33.4,0.0,4.0,0.0,1.0,2,0,0.00022292137145996094,0,0.0354
19,24.0,33.0,9.0,1.0,1.0,1.0,2,0,0.00018596649169921875,0,0.035509
20,24.2,34.2,13.5,1.0,1.0,1.0,2,0,0.00018262863159179688,0,0.035535
21,24.6,33.0,36.2,3.0,2.0,1.0,2,0,0.00018405914306640625,0,0.035475
22,23.8,33.7,8.3,1.0,1.0,1.0,2,0,0.00018405914306640625,0,0.03552
23,22.2,32.6,0.0,4.0,0.0,1.0,2,0,0.00018095970153808594,0,0.035419
24,23.6,33.8,0.0,4.0,0.0,1.0,2,0,0.00018715858459472656,0,0.035395
25,23.6,34.6,22.6,3.0,2.0,1.0,2,0,0.00018310546875,0,0.035499
26,24.2,30.0,15.0,1.0,1.0,1.0,2,0,0.0001780986785888672,0,0.035545
27,23.6,33.4,12.0,1.0,1.0,1.0,2,0,0.00018715858459472656,0,0.03557
28,24.2,31.0,7.9,1.0,1.0,1.0,2,0,0.00018310546875,0,0.035542
29,24.8,33.4,0.0,4.0,0.0,1.0,0,0,0.0001838207244873047,0,0.035413
30,25.2,34.8,0.0,4.0,0.0,1.0,0,0,0.0001850128173828125,0,0.035458
